STEP,X,Y,Z
39,5.1823,4.2189,4.9605
0,7.2271,3.6904,4.8467
1,6.0627,3.0478,2.6805
2,3.2509,4.4304,4.0900
3,5.6972,3.8417,3.3689
4,5.6938,5.6475,2.7577
5,6.5645,3.7098,5.7399
6,4.5593,3.3059,3.1512
7,7.6316,3.6819,3.8065
8,3.6506,3.9613,3.1108
9,7.3427,4.9562,2.7271
10,7.6240,5.2231,3.8288
11,4.4903,3.3606,5.0831
12,5.7664,5.7640,4.7271
13,6.9643,4.4327,4.1201
14,5.3085,2.9340,5.9590
15,5.3751,2.5306,3.6566
16,5.2112,4.7519,3.1599
17,6.7310,4.2302,3.1171
18,4.9150,5.8480,3.7562
19,4.6617,5.5809,4.8642
20,6.1889,4.6863,4.8803
21,4.3831,4.5558,2.5378
22,8.3633,4.1896,4.5282
23,3.9939,5.2925,3.6690
24,6.3727,5.2137,3.5654
25,3.2524,3.7791,5.1807
26,3.8866,3.3935,4.1216
27,6.6645,2.9615,3.5420
28,6.8815,5.6845,4.4258
29,5.6403,2.7465,4.8701
30,5.8930,4.5208,2.4414
31,7.4702,4.8145,5.0277
32,4.1030,4.5722,4.8934
33,5.0576,3.5203,4.1438
34,5.3579,5.0149,4.1610
35,5.2233,3.6929,2.4269
36,6.2261,3.5860,4.4324
37,3.3822,5.4716,4.6752
38,4.4754,4.3424,3.8365
39,5.1823,4.2189,4.9605
0,7.2270,3.6904,4.8466
1,6.0626,3.0478,2.6805
2,3.2548,4.4262,4.1193
3,5.7847,3.8739,3.4404
4,5.6937,5.6474,2.7577
5,6.3506,3.4066,5.4931
6,4.5627,3.3074,3.2462
7,7.7000,3.7268,3.6963
8,3.6547,3.9650,3.1139
9,7.3427,4.9561,2.7271
10,7.6207,5.1927,3.7818
11,4.4903,3.3606,5.0831
12,5.7808,5.7554,4.7324
13,6.9643,4.4326,4.1200
14,5.3578,3.2065,5.8449
15,5.3751,2.5306,3.6566
16,5.2168,4.7473,3.2073
17,6.7310,4.2302,3.1171
18,4.9129,5.8469,3.6274
19,4.6611,5.5826,4.8243
20,6.1889,4.6863,4.8802
21,4.3831,4.5557,2.5377
22,8.3633,4.1896,4.5282
23,3.9939,5.2925,3.6689
24,6.3726,5.2137,3.5653
25,3.2669,3.7074,5.0557
26,3.8832,3.4095,4.1372
27,6.6493,2.9737,3.5575
28,6.8815,5.6845,4.4258
29,5.6403,2.7465,4.8700
30,5.8929,4.5207,2.4414
31,7.4701,4.8145,5.0277
32,4.1029,4.5722,4.8933
33,5.0576,3.5203,4.1437
34,5.3578,5.0149,4.1610
35,5.1730,3.7354,2.4948
36,6.2260,3.5860,4.4324
37,3.3822,5.4715,4.6752
38,4.4754,4.3424,3.8365
39,5.1851,4.2237,4.9538
0,7.2270,3.6903,4.8466
1,6.0626,3.0478,2.6804
2,3.2548,4.4261,4.1192
3,5.7846,3.8739,3.4404
4,5.6937,5.6474,2.7577
5,6.3505,3.4066,5.4931
6,4.5627,3.3074,3.2461
7,7.7000,3.7268,3.6962
8,3.6547,3.9650,3.1138
9,7.3426,4.9561,2.7271
10,7.6206,5.1927,3.7818
11,4.4902,3.3606,5.0831
12,5.7808,5.7554,4.7323
13,6.9643,4.4326,4.1200
14,5.3578,3.2064,5.8448
15,5.3750,2.5306,3.6566
16,5.2168,4.7472,3.2072
17,6.7310,4.2302,3.1171
18,4.9129,5.8469,3.6273
19,4.6205,5.4886,4.8371
20,6.2000,4.6900,4.8801
21,4.3830,4.5557,2.5377
22,8.3632,4.1896,4.5282
23,3.9891,5.2880,3.6612
24,6.3499,5.2236,3.5515
25,3.2669,3.7073,5.0556
26,3.8832,3.4094,4.1372
27,6.7231,3.0063,3.6161
28,6.8814,5.6844,4.4258
29,5.6566,2.7765,4.8353
30,5.8929,4.5207,2.4414
31,7.4701,4.8144,5.0277
32,4.0917,4.5254,4.8321
33,5.0575,3.5203,4.1437
34,5.3578,5.0148,4.1610
35,5.1730,3.7353,2.4948
36,6.2260,3.5859,4.4324
37,3.3822,5.4715,4.6752
38,4.4753,4.3423,3.8365
39,5.1850,4.2236,4.9538
0,7.2269,3.6903,4.8466
1,6.0626,3.0478,2.6804
2,3.2548,4.4261,4.1192
3,5.7846,3.8738,3.4404
4,5.6937,5.6474,2.7577
5,6.3505,3.4066,5.4930
6,4.5626,3.3074,3.2461
7,7.6999,3.7268,3.6962
8,3.6547,3.9650,3.1138
9,7.3426,4.9561,2.7271
10,7.6732,5.2068,3.7857
11,4.4902,3.3606,5.0830
12,5.7798,5.7593,4.8069
13,6.9642,4.4326,4.1200
14,5.3578,3.2064,5.8448
15,5.3275,2.5732,3.6710
16,5.2167,4.7472,3.2072
17,6.7309,4.2302,3.1171
18,4.9129,5.8469,3.6273
19,4.6477,5.4825,4.8376
20,6.2000,4.6900,4.8801
21,4.3830,4.5557,2.5377
22,4.6378,5.8505,2.5636
23,3.9891,5.2880,3.6612
24,6.3499,5.2236,3.5514
25,3.2669,3.7073,5.0556
26,3.8831,3.4094,4.1371
27,6.7242,3.0096,3.6175
28,6.8814,5.6844,4.4258
29,5.6566,2.7765,4.8353
30,5.8929,4.5207,2.4414
31,7.4700,4.8144,5.0276
32,4.0917,4.5254,4.8321
33,5.0575,3.5203,4.1437
34,5.3854,4.9975,4.2017
35,5.1729,3.7353,2.4948
36,6.2260,3.5859,4.4323
37,3.3822,5.4715,4.6751
38,4.4753,4.3423,3.8365
39,5.1850,4.2236,4.9537
0,7.2269,3.6903,4.8466
1,6.0626,3.0477,2.6804
2,3.2548,4.4261,4.1192
3,5.7846,3.8738,3.4403
4,5.6937,5.6474,2.7577
5,6.3525,3.4104,5.4910
6,4.5626,3.3074,3.2461
7,7.6999,3.7268,3.6962
8,3.6547,3.9650,3.1138
9,6.9102,5.1858,2.7166
10,7.6732,5.2068,3.7857
11,4.4902,3.3607,5.0830
12,5.7798,5.7593,4.8069
13,6.9642,4.4326,4.1200
14,5.3577,3.2064,5.8448
15,5.3275,2.5731,3.6710
16,5.2109,4.7619,3.2089
17,6.7438,4.2147,3.1220
18,4.9129,5.8469,3.6273
19,4.6477,5.4825,4.8376
20,6.2000,4.6899,4.8801
21,4.3830,4.5557,2.5377
22,4.5287,5.7915,2.6258
23,3.9891,5.2880,3.6612
24,6.3253,5.1306,3.5567
25,3.2669,3.7073,5.0556
26,3.8831,3.4094,4.1371
27,6.7216,3.0143,3.6301
28,6.8814,5.6844,4.4257
29,5.6565,2.7764,4.8353
30,5.8929,4.5207,2.4414
31,7.4700,4.8144,5.0276
32,4.0917,4.5253,4.8321
33,5.0575,3.5203,4.1437
34,5.3755,4.9899,4.2085
35,5.1729,3.7353,2.4948
36,6.2259,3.5859,4.4323
37,3.3822,5.4714,4.6751
38,4.4753,4.3423,3.8364
39,5.1850,4.2236,4.9537
0,7.2269,3.6903,4.8466
1,6.0625,3.0477,2.6804
2,3.2548,4.4261,4.1192
3,5.7845,3.8738,3.4403
4,5.6936,5.6473,2.7576
5,6.3524,3.4103,5.4909
6,4.5626,3.3073,3.2461
7,7.6999,3.7267,3.6962
8,3.6547,3.9649,3.1138
9,6.9101,5.1858,2.7166
10,7.6731,5.2067,3.7856
11,4.4901,3.3606,5.0830
12,5.7798,5.7593,4.8068
13,6.9642,4.4326,4.1199
14,5.2529,3.2680,5.7488
15,5.5671,2.7208,3.7628
16,5.2109,4.7618,3.2089
17,6.7438,4.2147,3.1220
18,4.9128,5.8468,3.6273
19,4.6476,5.4825,4.8375
20,6.1999,4.6899,4.8800
21,4.3765,4.6262,2.6380
22,4.5287,5.7915,2.6258
23,3.9891,5.2879,3.6612
24,6.3252,5.1305,3.5567
25,3.2669,3.7073,5.0556
26,3.8831,3.4094,4.1371
27,6.7215,3.0143,3.6300
28,6.8813,5.6844,4.4257
29,5.6565,2.7764,4.8353
30,5.9375,4.4753,2.4218
31,7.4700,4.8144,5.0276
32,4.0916,4.5253,4.8320
33,5.0575,3.5202,4.1436
34,5.3802,4.9725,4.2231
35,5.1729,3.7353,2.4947
36,6.1482,3.6846,4.4758
37,3.3821,5.4714,4.6751
38,4.4753,4.3423,3.8364
39,5.1850,4.2236,4.9537
0,7.2327,3.6808,4.8451
1,6.0625,3.0477,2.6804
2,3.2548,4.4261,4.1192
3,5.7845,3.8738,3.4403
4,5.6936,5.6473,2.7576
5,6.3524,3.4103,5.4909
6,4.5626,3.3073,3.2461
7,7.6963,3.7305,3.6764
8,3.6546,3.9649,3.1138
9,6.9101,5.1857,2.7166
10,7.6549,5.2528,3.6516
11,4.4157,3.4731,5.1099
12,5.7797,5.7592,4.8068
13,6.9641,4.4325,4.1199
14,5.2529,3.2680,5.7488
15,5.5671,2.7208,3.7628
16,5.2109,4.7618,3.2089
17,6.7437,4.2147,3.1220
18,4.9128,5.8468,3.6273
19,4.6476,5.4825,4.8375
