STEP,X,Y
13000,0.9171,2.7600
13000,2.5890,4.3305
13000,5.9772,2.0667
13000,5.9747,5.1574
13000,9.0610,3.8051
13000,2.4381,1.2867
13000,8.7569,9.9352
13000,3.0067,9.5178
13000,9.8203,2.5294
13000,4.3669,7.0362
13000,1.7757,9.7425
13000,5.2600,4.5610
13000,9.8552,5.7260
13000,7.7156,4.1885
13000,5.2375,6.8763
13000,4.6550,2.5817
13000,6.7200,8.9453
13000,7.7544,9.1348
13000,2.2762,8.2134
13000,3.6863,8.0824
13000,5.2687,9.8672
13000,8.2959,6.6509
13000,1.4189,3.9594
13000,2.4197,6.6329
13000,7.3554,0.8560
13000,9.6583,6.7415
13000,8.2117,2.0323
13000,7.3909,7.6301
13000,3.8596,3.8440
13000,5.0414,0.2076
13000,1.0642,7.3198
14000,5.8725,8.9916
14000,3.3937,3.0438
14000,7.7837,0.1515
14000,0.6116,5.7302
14000,9.8798,9.0753
14000,4.6285,1.0623
14000,4.7017,9.7693
14000,0.8065,1.9362
14000,0.1786,4.6657
14000,2.2148,0.7490
14000,0.8797,0.1527
14000,1.1950,6.4004
14000,7.5811,8.8331
14000,8.4855,1.4688
14000,6.6035,5.3582
14000,4.0093,8.6439
14000,0.3917,6.8225
14000,9.8858,4.2593
14000,7.8845,2.9518
14000,2.4926,9.2415
14000,9.5317,0.1578
14000,8.8818,8.0635
14000,3.7011,5.4167
14000,0.0208,7.7183
14000,3.9562,2.2789
14000,2.5468,8.0599
14000,7.3129,4.8282
14000,1.3757,7.8762
14000,6.1444,2.6796
14000,4.0613,6.6573
14000,9.5224,2.0357
14000,5.4297,0.6136
14000,8.3302,5.5462
14000,7.3156,1.5048
14000,5.0153,2.2864
14000,6.1138,4.4458
14000,8.6488,9.3594
14000,4.9183,3.7526
14000,3.2324,1.7377
14000,2.8986,5.3165
15000,1.9620,9.2447
15000,8.0144,3.8542
15000,3.3120,3.9371
15000,5.9216,4.2706
15000,4.7075,2.7548
15000,7.0795,4.7531
15000,2.0073,3.9523
15000,0.4671,3.2405
15000,5.5588,0.3861
15000,0.5744,0.1712
15000,2.9937,2.9062
15000,5.7696,7.2458
15000,9.9643,0.9546
15000,8.5885,6.0271
15000,4.9294,6.4418
15000,8.6885,0.0721
15000,6.7227,9.0195
15000,7.1566,3.2889
15000,8.8956,2.6971
15000,3.9646,5.2415
15000,9.2022,6.7588
15000,2.7209,5.4557
15000,0.8979,7.5958
15000,2.4363,7.8325
15000,6.7519,0.4036
15000,7.2913,7.8413
15000,8.2320,8.6415
15000,2.8675,9.9987
15000,9.9853,5.9542
15000,5.9824,9.7717
15000,8.8179,4.0441
15000,1.3948,1.1892
15000,2.5536,8.6382
15000,5.0929,3.6617
15000,9.8250,9.6348
15000,0.1677,4.9101
15000,7.9716,6.8819
15000,4.9141,8.5489
15000,3.0181,6.7596
15000,0.4112,8.6417
16000,7.9206,5.9877
16000,4.7360,7.5916
16000,2.5521,4.3476
16000,9.4043,4.1405
16000,3.4327,5.1959
16000,6.1142,1.3693
16000,1.5990,0.2366
16000,1.5433,2.5260
16000,4.7920,2.7099
16000,0.4878,2.6295
16000,2.9994,0.1505
16000,0.7612,3.8399
16000,9.7427,2.3110
16000,5.5608,6.2566
16000,1.5808,4.6954
16000,8.2864,4.9725
16000,4.2098,4.1705
16000,6.6165,9.9470
16000,9.8894,0.9005
16000,5.3296,3.8212
16000,3.4731,7.5208
16000,0.0778,8.3359
16000,3.1851,6.2825
16000,2.4300,9.4918
16000,2.1410,6.4460
16000,9.3527,8.0015
16000,5.9030,8.4463
16000,9.8901,6.2366
16000,5.1314,4.6433
16000,8.6395,3.6454
16000,2.7348,2.0296
16000,5.0476,5.4943
16000,6.5760,7.3605
16000,8.5544,9.1741
16000,9.7385,9.5959
16000,6.1544,3.5169
16000,1.0733,1.2954
16000,9.1177,5.6159
16000,2.7038,7.7205
16000,1.2191,6.5746
17000,4.3478,2.4437
17000,5.2513,5.5292
17000,6.5385,6.2458
17000,3.4951,1.0268
17000,2.3810,8.9311
17000,8.2570,1.4858
17000,0.8960,1.2722
17000,2.6741,5.1848
17000,6.2741,0.1404
17000,7.7789,0.2791
17000,1.2584,2.9195
17000,7.0441,9.5041
17000,8.0416,3.8162
17000,1.8950,8.1376
17000,3.5614,3.4659
17000,7.1046,4.3809
17000,1.8157,6.8630
17000,1.1421,4.2346
17000,6.8435,2.8334
17000,2.5086,9.8959
17000,4.9526,7.4182
17000,0.6274,8.4356
17000,8.2217,8.8567
17000,0.0499,2.3774
17000,5.8248,9.4366
17000,8.5729,6.4656
17000,9.0173,3.7106
17000,5.7095,3.0873
17000,4.2840,0.1848
17000,9.2936,1.3429
17000,1.0554,6.4883
17000,7.5156,7.0508
17000,4.6125,6.3576
17000,6.0877,7.0821
17000,5.1951,0.8737
17000,6.4387,1.9757
17000,2.5700,1.3511
17000,9.9656,0.7732
17000,6.9430,7.8381
17000,0.1584,3.9976
18000,5.5900,2.5802
18000,2.2779,4.9430
18000,7.0853,4.9100
18000,2.8109,0.2446
18000,3.3594,3.7057
18000,9.4205,4.6184
18000,1.0832,0.9563
18000,8.6369,3.2417
18000,3.9201,0.0882
18000,8.1556,1.0751
18000,3.1024,2.6074
18000,5.3825,4.8115
18000,8.2975,8.3970
18000,1.3169,3.1657
18000,2.5847,6.2235
18000,2.5244,1.1209
18000,6.5822,1.5868
18000,8.0502,4.6245
18000,4.2336,9.3506
18000,1.4389,4.4364
18000,0.2645,6.8973
18000,0.5073,3.1562
18000,2.8514,7.5544
18000,3.6909,5.6867
18000,5.2743,6.4741
18000,4.1947,2.4441
18000,9.5069,1.2720
18000,0.8420,9.4674
18000,1.8468,9.9768
18000,8.8010,2.3294
18000,0.4337,5.8416
18000,5.2411,8.1792
18000,8.7854,5.2241
18000,4.2989,7.5532
18000,1.8512,0.4672
18000,7.4085,9.9217
18000,6.4145,0.5199
18000,9.0133,7.6615
18000,7.1796,3.3877
18000,5.4587,3.6142
19000,5.4093,8.2068
19000,3.9543,1.2847
19000,2.9637,4.9870
19000,5.8664,7.0749
19000,1.5472,3.8506
19000,4.9417,1.6268
19000,2.9061,0.0474
19000,8.8496,4.0426
19000,0.5871,0.6553
19000,6.9454,1.0142
19000,3.3113,2.1740
19000,9.7630,4.1621
19000,8.5666,8.6719
19000,3.0367,3.1128
19000,9.9904,2.6478
19000,5.1439,3.7936
19000,7.9553,3.4921
19000,4.0786,9.6690
19000,8.5708,6.2254
19000,0.8169,4.4444
19000,2.7503,7.8502
19000,3.6559,7.1063
19000,8.9370,7.9064
19000,2.2559,2.1676
19000,5.9943,5.8161
19000,2.5982,3.9850
19000,6.5772,4.4897
19000,2.9854,9.7975
19000,2.1763,5.8059
19000,1.4916,7.4156
19000,1.2967,9.5940
19000,4.0256,5.0887
19000,9.5912,5.4774
19000,0.2781,6.1215
19000,2.2632,0.8559
19000,0.5297,8.0146
19000,5.0241,5.3451
19000,6.6587,3.5057
19000,6.3098,1.8756
19000,6.7613,8.8324
20000,0.1404,7.5950
20000,9.9623,2.1086
20000,8.6889,1.5612
20000,7.9103,1.1061
20000,7.7852,4.8153
20000,1.7313,8.2035
20000,6.3569,1.2931
20000,6.0621,4.1198
20000,9.2429,9.7093
20000,5.0724,6.5102
20000,4.9911,1.2153
20000,4.1758,1.7113
20000,8.0830,3.4158
20000,6.6561,5.2846
20000,3.8824,4.1918
20000,3.2151,5.5330
20000,7.8469,2.0331
20000,1.5732,7.1517
20000,9.5434,3.6430
20000,2.0379,6.2238
20000,2.7435,8.4090
20000,3.6372,8.2528
20000,8.2525,5.9012
20000,0.5573,1.1800
20000,9.7566,0.6806
20000,3.0146,3.4878
20000,8.5647,0.4000
20000,5.3198,8.1859
20000,2.7547,2.0525
20000,0.4051,0.0687
20000,1.0784,1.9977
20000,6.7950,9.0261
20000,9.6747,5.6250
20000,4.0779,2.4829
20000,2.5057,4.2698
20000,9.6408,8.4229
20000,6.6817,7.9440
20000,9.7043,6.6271
20000,6.7312,0.2308
20000,8.6805,4.2277
21000,0.0050,3.1873
21000,8.3162,9.1475
21000,7.2506,5.0095
21000,6.2462,4.3657
21000,1.4251,8.5061
21000,3.5059,6.5172
21000,5.2138,1.3049
21000,8.9607,6.8483
21000,3.8856,5.1550
21000,0.1780,6.9023
21000,8.2978,0.7051
21000,9.0599,0.2183
21000,9.8504,3.4138
21000,8.3292,7.5375
21000,5.4373,7.5686
21000,2.3837,3.7901
21000,6.1354,8.7308
21000,0.6901,9.9447
21000,9.4858,9.4342
21000,6.8358,1.9647
21000,0.2086,3.9763
21000,2.9063,7.5008
21000,8.2877,5.1879
21000,4.6780,3.9548
21000,1.9790,5.7244
21000,3.6641,2.6135
21000,0.1070,9.1207
21000,5.9326,6.6559
21000,3.8202,9.9849
21000,2.6878,4.6001
21000,1.2856,0.2673
21000,7.4171,6.2554
21000,1.4566,9.4573
21000,1.9909,6.8924
21000,6.8984,0.6911
21000,9.7641,5.7548
21000,2.6803,2.2964
21000,7.9126,9.9268
21000,5.7111,3.5321
21000,4.7021,9.4230
22000,1.0739,5.4246
22000,9.5667,9.0538
22000,9.3471,0.8954
22000,1.4389,9.0617
22000,6.2421,7.9102
22000,0.1561,6.8773
22000,3.0905,5.9362
22000,0.4691,7.7671
22000,6.5121,3.1020
22000,2.1469,8.6264
22000,1.5181,0.4148
22000,6.2470,1.0679
22000,7.3304,1.8996
22000,7.0632,7.5422
22000,4.0482,6.4412
22000,7.8234,4.8488
22000,6.5084,5.6613
22000,0.7573,9.9800
22000,7.6071,8.8362
22000,9.4332,2.2362
22000,8.7490,8.6697
22000,0.7488,1.8701
22000,4.8464,3.1251
22000,4.6183,9.3431
22000,2.8399,3.8537
22000,3.2341,2.7055
22000,0.0806,9.1794
22000,5.7935,2.1187
22000,8.8646,9.9498
22000,3.7419,1.6741
22000,5.1788,8.4116
22000,4.7408,1.4290
22000,6.0048,6.2652
22000,7.9129,0.1406
22000,4.8565,6.6859
22000,6.0893,4.5947
22000,4.8262,0.3294
22000,3.3533,8.0908
22000,1.7892,3.5351
22000,4.1464,5.2878
23000,8.1774,1.3243
23000,3.5474,6.3893
23000,9.5840,4.0815
23000,4.5533,6.6748
23000,6.0569,7.5800
23000,2.3253,2.3012
23000,5.7981,2.3742
23000,1.5184,4.2887
23000,8.0198,0.4159
23000,2.3608,7.4160
23000,8.2518,6.7270
23000,6.6431,0.1777
23000,8.8820,3.5175
23000,9.2958,8.1189
23000,4.8923,3.1694
23000,8.7045,7.3032
23000,2.3088,0.1870
23000,3.7819,2.6020
23000,8.9946,4.8165
23000,8.0519,4.6496
23000,9.8997,7.2958
23000,0.5235,0.9063
23000,4.5636,0.0259
23000,9.5499,2.4304
23000,1.5733,5.4120
23000,4.9896,5.8326
23000,5.5694,4.8580
23000,2.6446,3.9908
23000,5.4672,8.4755
23000,4.7662,4.0149
23000,5.3280,0.3176
23000,0.6676,2.7660
23000,8.0046,8.3693
23000,6.9977,2.8449
23000,3.3531,7.7032
23000,6.5797,1.5561
23000,1.4160,3.3473
